,City Name,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
0,Wittmund,53.57,7.78,43.59,93,5.82,75
1,Bluff,-46.6,168.33,50.0,93,8.81,48
2,Qiongshan,20.01,110.35,62.6,93,8.95,90
3,Tura,25.52,90.22,59.02,54,1.72,0
4,Rikitea,-23.12,-134.97,77.38,71,9.33,0
5,Myitkyina,25.38,97.4,58.91,73,2.59,0
6,Busselton,-33.65,115.33,52.39,87,13.31,0
7,Cherskiy,68.75,161.3,-22.22,87,2.95,98
8,Kingaroy,-26.53,151.83,71.6,94,5.82,90
9,Fukuechō,32.69,128.84,44.28,67,25.01,28
10,East London,-33.02,27.91,69.8,77,6.93,20
11,Hobart,-42.88,147.33,52.36,93,5.82,90
12,Ponta do Sol,32.67,-17.1,60.19,55,11.41,20
13,Lawrence,38.97,-95.24,32.36,74,5.84,75
14,San Quintín,30.48,-115.95,64.45,28,4.16,0
15,Salalah,17.02,54.09,75.2,69,2.24,0
16,Ostrovnoy,68.05,39.51,24.84,90,15.68,99
17,Clyde River,70.47,-68.59,-0.4,91,17.22,40
18,Cape Town,-33.93,18.42,65.68,72,25.28,40
19,Avarua,-21.21,-159.78,82.4,83,16.11,100
20,Upernavik,72.79,-56.15,19.35,84,3.09,100
21,Chui,-33.7,-53.46,69.33,73,11.81,100
22,Lorengau,-2.02,147.27,82.6,74,4.34,100
23,Bandarbeyla,9.49,50.81,75.06,75,22.64,0
24,Alta Floresta,-9.88,-56.09,91.4,52,4.7,20
25,Youkounkoun,12.53,-13.13,85.62,21,2.17,0
26,Castro,-24.79,-50.01,83.01,51,2.68,61
27,Ushuaia,-54.8,-68.3,48.2,70,28.86,75
28,Faanui,-16.48,-151.75,80.24,79,23.38,100
29,Bud,39.45,-86.18,31.48,86,3.22,90
30,Tiarei,-17.53,-149.33,86.0,62,5.82,20
31,Mataura,-46.19,168.86,50.0,93,1.39,71
32,Hilo,19.73,-155.09,69.13,94,5.82,90
33,Batesville,35.77,-91.64,35.87,64,6.93,90
34,Pangnirtung,66.15,-65.71,12.2,78,4.7,75
35,Monster,52.03,4.17,48.43,90,8.01,100
36,Mae Hong Son,19.3,97.97,67.77,81,1.12,0
37,Srednekolymsk,67.45,153.68,-16.78,88,12.86,100
38,Port Alfred,-33.59,26.89,66.99,90,1.01,0
39,Dingle,11.0,122.67,75.29,90,9.66,96
40,Hong Kong,22.29,114.16,54.7,77,1.01,77
41,Boden,65.83,21.69,24.8,92,10.29,40
42,Avera,33.19,-82.53,40.1,86,3.36,90
43,Strezhevoy,60.73,77.59,8.6,92,4.47,90
44,Punta Arenas,-53.15,-70.92,53.29,58,28.86,75
45,Birjand,32.87,59.22,33.8,64,4.7,0
46,Khandyga,62.67,135.6,-48.08,75,1.3,25
47,Talnakh,69.49,88.4,-11.2,76,15.66,40
48,Tambura,5.6,27.47,83.01,24,5.37,100
49,Saldanha,-33.01,17.94,66.2,68,16.11,0
50,Bambous Virieux,-20.34,57.76,77.49,94,10.29,75
51,Pevek,69.7,170.31,11.28,92,10.07,100
52,Vestmannaeyjar,63.44,-20.27,42.8,75,4.7,20
53,Hobyo,5.35,48.53,79.12,75,21.88,100
54,Saint-Pierre,-21.34,55.48,72.32,83,2.24,0
55,Forrest City,35.01,-90.79,37.49,69,10.29,90
56,Rawson,-43.3,-65.1,71.08,28,11.56,51
57,Gairo,39.85,9.5,52.77,100,3.36,40
58,Tuktoyaktuk,69.45,-133.04,-14.8,75,9.17,75
59,Aksha,50.28,113.29,6.28,86,11.63,2
60,Cabañas,22.98,-82.92,82.18,65,8.05,40
61,Bredasdorp,-34.53,20.04,64.4,72,4.7,3
62,Yining,29.04,114.56,36.12,77,2.91,98
63,Najrān,17.49,44.13,60.8,31,1.05,0
64,Hermanus,-34.42,19.23,66.0,79,3.78,18
65,Albany,42.6,-73.97,19.22,45,2.24,100
66,Manzanillo,20.34,-77.12,83.41,56,2.13,93
67,Udachny,66.42,112.4,-29.2,66,0.96,75
68,Pisco,-13.7,-76.22,70.75,77,9.17,0
69,Kaitangata,-46.28,169.85,53.01,90,5.66,94
70,Bandundu Province,-3.32,17.37,77.27,81,0.98,100
71,Lagoa,39.05,-27.98,63.59,83,26.66,0
72,Rabat,33.99,-6.84,55.29,87,21.92,90
73,Mount Gambier,-37.83,140.77,57.2,93,9.17,90
74,Cockburn Town,21.46,-71.14,78.44,75,13.94,6
75,Isangel,-19.55,169.27,76.24,79,16.6,7
76,Saskylakh,71.92,114.08,-32.08,83,2.08,90
77,Yellowknife,62.46,-114.35,-40.0,65,5.82,20
78,Agía Galíni,35.1,24.68,55.42,82,10.13,100
79,Kushikino,31.72,130.27,33.01,74,10.0,45
80,Airai,-8.93,125.41,61.79,100,2.17,70
81,Olsztyn,53.78,20.49,39.2,100,2.24,90
